Experience,Education,JobRole,Location,Country,Salary_Monthly_USD,Salary_Annual_USD
2,PhD,ML Engineer,Madrid,Spain,8663,103960
10,Bachelor,Data Analyst,Zurich,Switzerland,20385,244630
9,PhD,Cybersecurity,Amsterdam,Netherlands,18124,217494
12,Bachelor,ML Engineer,Amsterdam,Netherlands,14982,179794
8,PhD,ML Engineer,Paris,France,15086,181041
10,PhD,Data Analyst,Montreal,Canada,13010,156120
11,Master,Cloud Engineer,Munich,Germany,15715,188580
4,Bachelor,Data Analyst,Dublin,Ireland,11765,141184
6,Master,Cybersecurity,Pune,India,6206,74481
11,Master,ML Engineer,Singapore,Singapore,20003,240042
12,Master,Cybersecurity,Kuala Lumpur,Malaysia,11639,139669
0,PhD,Data Analyst,Singapore,Singapore,11969,143639
2,PhD,Cybersecurity,Frankfurt,Germany,13178,158138
2,PhD,Data Scientist,Perth,Australia,14100,169204
9,Bachelor,Data Scientist,Geneva,Switzerland,20610,247320
5,Bachelor,Data Scientist,Stockholm,Sweden,11680,140170
8,PhD,Cybersecurity,Singapore,Singapore,23262,279148
0,Bachelor,Data Analyst,Paris,France,6825,81900
6,PhD,Cybersecurity,Stockholm,Sweden,13382,160588
5,PhD,Software Engineer,Melbourne,Australia,16975,203700
9,Master,Cybersecurity,San Francisco,USA,24952,299425
3,PhD,Cloud Engineer,Singapore,Singapore,18074,216895
10,PhD,Data Scientist,Birmingham,UK,16679,200148
4,PhD,Data Scientist,Montreal,Canada,14284,171408
12,Bachelor,Software Engineer,Berlin,Germany,16064,192776
1,Bachelor,Cloud Engineer,Stockholm,Sweden,10600,127205
6,Master,Cloud Engineer,Kuala Lumpur,Malaysia,8322,99871
6,Bachelor,Cybersecurity,Kuala Lumpur,Malaysia,6511,78132
12,Bachelor,Software Engineer,Edinburgh,UK,13530,162362
12,PhD,Cloud Engineer,Sydney,Australia,23968,287620
5,Master,Data Analyst,Dublin,Ireland,13565,162783
0,Master,Cloud Engineer,Dubai,UAE,12661,151937
5,PhD,Cybersecurity,Dublin,Ireland,18403,220836
0,Master,Data Scientist,Tokyo,Japan,10725,128700
4,Bachelor,Data Scientist,Amsterdam,Netherlands,12316,147796
5,Bachelor,Cloud Engineer,Austin,USA,15911,190935
5,PhD,Data Analyst,Abu Dhabi,UAE,13619,163428
2,Master,Data Analyst,Boston,USA,12634,151608
6,Bachelor,Software Engineer,Singapore,Singapore,15411,184940
1,Bachelor,Cloud Engineer,Zurich,Switzerland,19020,228244
9,Master,Cloud Engineer,Montreal,Canada,18016,216196
12,Bachelor,Cloud Engineer,Birmingham,UK,11738,140866
2,PhD,ML Engineer,Rotterdam,Netherlands,14557,174686
3,Bachelor,Data Analyst,Madrid,Spain,5218,62619
8,Bachelor,ML Engineer,Singapore,Singapore,19250,231004
8,Bachelor,Cloud Engineer,Singapore,Singapore,16916,203002
7,Bachelor,Software Engineer,Seattle,USA,18189,218276
5,PhD,Cybersecurity,Boston,USA,21610,259326
12,PhD,ML Engineer,Delhi,India,7558,90696
0,Master,Cybersecurity,Luxembourg,Luxembourg,16940,203280
1,PhD,Software Engineer,Kuala Lumpur,Malaysia,4593,55122
12,Bachelor,Cybersecurity,Singapore,Singapore,17876,214512
1,PhD,ML Engineer,Abu Dhabi,UAE,14117,169413
6,PhD,Cloud Engineer,Geneva,Switzerland,24479,293752
0,Master,Software Engineer,Zurich,Switzerland,18150,217800
1,PhD,Software Engineer,Dublin,Ireland,13745,164949
11,Bachelor,Cybersecurity,London,UK,16234,194813
6,Master,Cybersecurity,Osaka,Japan,12791,153502
6,PhD,Cloud Engineer,Melbourne,Australia,17292,207504
3,PhD,Software Engineer,Birmingham,UK,9770,117249
1,Master,Cloud Engineer,Kuala Lumpur,Malaysia,4403,52845
12,PhD,ML Engineer,Singapore,Singapore,21048,252580
10,PhD,Cloud Engineer,Zurich,Switzerland,32389,388668
3,Master,Data Analyst,Berlin,Germany,8837,106055
12,Master,Data Analyst,Luxembourg,Luxembourg,19455,233468
5,Master,Software Engineer,Melbourne,Australia,16562,198748
12,Bachelor,Data Analyst,Singapore,Singapore,18323,219876
12,PhD,Cloud Engineer,Singapore,Singapore,22343,268116
11,Bachelor,Data Scientist,Dublin,Ireland,19381,232580
4,Bachelor,Cloud Engineer,Stockholm,Sweden,11912,142952
3,Master,Software Engineer,Rotterdam,Netherlands,11966,143599
4,Master,ML Engineer,Manchester,UK,9935,119220
0,Bachelor,Data Scientist,Zurich,Switzerland,18000,216000
4,PhD,Data Analyst,New York,USA,17794,213537
1,Bachelor,Data Analyst,Rotterdam,Netherlands,7920,95048
6,Bachelor,Data Analyst,Luxembourg,Luxembourg,14139,169674
3,Bachelor,Data Scientist,Manchester,UK,8740,104889
9,Master,Cybersecurity,San Francisco,USA,25076,300920
0,PhD,ML Engineer,Madrid,Spain,7150,85800
2,PhD,ML Engineer,Geneva,Switzerland,23583,282998
7,PhD,Data Scientist,Singapore,Singapore,22866,274402
0,PhD,Software Engineer,Melbourne,Australia,13200,158400
6,Bachelor,Data Analyst,Hyderabad,India,4470,53646
6,Bachelor,Data Scientist,New York,USA,19465,233580
8,PhD,Cybersecurity,Dublin,Ireland,21093,253123
7,Master,Software Engineer,Rotterdam,Netherlands,15284,183410
0,Master,Data Analyst,Amsterdam,Netherlands,9116,109395
6,Bachelor,Software Engineer,Zurich,Switzerland,20645,247740
9,Master,Data Scientist,Edinburgh,UK,15518,186222
2,PhD,Cybersecurity,Osaka,Japan,11615,139389
6,Master,Software Engineer,Sydney,Australia,18050,216601
8,Bachelor,Data Scientist,Kuala Lumpur,Malaysia,6160,73920
4,PhD,Software Engineer,Barcelona,Spain,9638,115656
4,PhD,ML Engineer,Tokyo,Japan,14487,173844
9,PhD,Data Analyst,Barcelona,Spain,10053,120646
6,Master,Cloud Engineer,Singapore,Singapore,16966,203599
0,Bachelor,Data Scientist,Singapore,Singapore,13300,159600
2,PhD,Data Scientist,Stockholm,Sweden,12460,149520
6,PhD,Cybersecurity,Seattle,USA,20558,246700
5,Bachelor,Cybersecurity,Osaka,Japan,11055,132665
5,PhD,Cloud Engineer,Luxembourg,Luxembourg,20972,251670
7,Master,ML Engineer,Birmingham,UK,11812,141744
9,PhD,Cloud Engineer,Berlin,Germany,17965,215581
3,Bachelor,ML Engineer,Melbourne,Australia,15111,181341
7,Master,Data Analyst,Dubai,UAE,12957,155487
11,PhD,Cloud Engineer,Sydney,Australia,22168,266016
12,PhD,Cybersecurity,Geneva,Switzerland,26314,315777
7,Master,Software Engineer,Amsterdam,Netherlands,15530,186365
2,Master,Data Scientist,Munich,Germany,12958,155498
6,Master,Cybersecurity,Tokyo,Japan,15841,190099
10,PhD,Software Engineer,Montreal,Canada,17088,205056
6,Bachelor,ML Engineer,Singapore,Singapore,16922,203074
4,Master,ML Engineer,Dublin,Ireland,15578,186942
2,PhD,Cybersecurity,Birmingham,UK,9016,108196
10,PhD,Cybersecurity,Mumbai,India,9904,118848
8,Master,Software Engineer,Berlin,Germany,11660,139920
4,Bachelor,Cybersecurity,Chicago,USA,14753,177044
6,PhD,Data Scientist,Luxembourg,Luxembourg,22108,265305
1,PhD,Cloud Engineer,Luxembourg,Luxembourg,19587,235045
6,Master,Data Scientist,Kuala Lumpur,Malaysia,6528,78342
0,Bachelor,Data Scientist,Luxembourg,Luxembourg,15400,184800
10,Bachelor,Data Scientist,Luxembourg,Luxembourg,20595,247150
5,PhD,ML Engineer,Paris,France,15065,180786
4,PhD,Cybersecurity,Paris,France,14366,172401
2,PhD,Cloud Engineer,Amsterdam,Netherlands,15266,183195
4,PhD,Cybersecurity,Abu Dhabi,UAE,14302,171633
1,PhD,Cybersecurity,Singapore,Singapore,16917,203014
1,Bachelor,Cloud Engineer,Singapore,Singapore,14535,174423
5,Bachelor,Software Engineer,Melbourne,Australia,14845,178150
11,Bachelor,Software Engineer,Dublin,Ireland,16962,203555
6,Bachelor,Cybersecurity,Dublin,Ireland,16368,196416
8,Bachelor,Cloud Engineer,Barcelona,Spain,12877,154528
6,Master,ML Engineer,Geneva,Switzerland,22408,268903
12,Master,Software Engineer,Luxembourg,Luxembourg,20824,249898
12,Bachelor,ML Engineer,Kuala Lumpur,Malaysia,11160,133920
12,Bachelor,ML Engineer,Berlin,Germany,17990,215884
5,PhD,Software Engineer,Stockholm,Sweden,15342,184104
2,Master,ML Engineer,London,UK,12432,149184
6,Bachelor,Cybersecurity,Tokyo,Japan,14746,176952
11,Master,Cybersecurity,Manchester,UK,11146,133753
10,Master,Data Scientist,Melbourne,Australia,20406,244882
3,PhD,Data Scientist,Berlin,Germany,12301,147621
11,Master,Cloud Engineer,Abu Dhabi,UAE,21371,256458
7,Bachelor,Cybersecurity,Lyon,France,12825,153902
7,Bachelor,Software Engineer,Munich,Germany,14151,169812
12,Bachelor,Data Analyst,Barcelona,Spain,13311,159732
6,Master,Software Engineer,Paris,France,12735,152825
2,Bachelor,Cybersecurity,Mumbai,India,3789,45470
2,Bachelor,ML Engineer,Frankfurt,Germany,11739,140868
1,Master,ML Engineer,Geneva,Switzerland,20584,247010
10,Master,Cybersecurity,Madrid,Spain,11286,135443
3,Master,Cybersecurity,Frankfurt,Germany,13173,158076
4,Master,Data Analyst,Singapore,Singapore,13598,163178
9,Bachelor,Cybersecurity,Austin,USA,18185,218223
2,Bachelor,Software Engineer,Dublin,Ireland,11628,139546
2,Bachelor,Cloud Engineer,Austin,USA,15258,183098
12,Bachelor,ML Engineer,Luxembourg,Luxembourg,22860,274324
5,PhD,Data Analyst,Toronto,Canada,12315,147786
2,PhD,Cloud Engineer,Zurich,Switzerland,23442,281313
3,Master,Software Engineer,London,UK,10928,131140
3,Bachelor,Data Scientist,Mumbai,India,4534,54414
1,Master,Cybersecurity,Dubai,UAE,13037,156444
1,Master,Cybersecurity,Dublin,Ireland,13236,158836
8,PhD,Software Engineer,Birmingham,UK,13704,164452
1,PhD,Cybersecurity,Barcelona,Spain,8160,97921
10,Master,Cybersecurity,Kuala Lumpur,Malaysia,7960,95524
11,PhD,Cloud Engineer,Stockholm,Sweden,19295,231542
7,PhD,ML Engineer,Toronto,Canada,20568,246826
10,PhD,Cloud Engineer,Amsterdam,Netherlands,16830,201966
9,Bachelor,Software Engineer,Dublin,Ireland,16127,193527
9,PhD,Data Analyst,Melbourne,Australia,15006,180079
12,Master,Cybersecurity,Luxembourg,Luxembourg,26457,317486
3,PhD,Data Scientist,London,UK,13779,165348
8,Bachelor,Data Analyst,Luxembourg,Luxembourg,14458,173504
5,Bachelor,ML Engineer,Kuala Lumpur,Malaysia,7219,86630
11,Master,Cybersecurity,Seattle,USA,25060,300723
1,PhD,Data Analyst,Tokyo,Japan,9147,109764
3,PhD,Data Scientist,Madrid,Spain,8046,96562
11,Bachelor,ML Engineer,Luxembourg,Luxembourg,23950,287408
4,PhD,Software Engineer,Perth,Australia,14923,179083
0,PhD,Cybersecurity,Amsterdam,Netherlands,13260,159120
7,PhD,Software Engineer,Bangalore,India,5091,61099
12,PhD,Data Scientist,Rotterdam,Netherlands,23510,282124
7,Bachelor,Data Analyst,Stockholm,Sweden,10530,126363
10,Master,Data Analyst,Paris,France,13707,164494
7,Master,ML Engineer,Luxembourg,Luxembourg,22394,268737
9,PhD,Cybersecurity,Frankfurt,Germany,15943,191322
10,Master,Data Analyst,Lyon,France,11424,137093
0,PhD,Cloud Engineer,Tokyo,Japan,12187,146250
4,Bachelor,Data Scientist,Mumbai,India,4560,54720
12,PhD,Data Analyst,Kuala Lumpur,Malaysia,13334,160012
4,Bachelor,Cloud Engineer,Kuala Lumpur,Malaysia,6050,72610
11,Bachelor,Data Analyst,Vancouver,Canada,12215,146583
11,Master,Cloud Engineer,Montreal,Canada,17978,215743
6,PhD,Data Scientist,Kuala Lumpur,Malaysia,7644,91728
9,Bachelor,ML Engineer,Zurich,Switzerland,23306,279675
8,Master,Software Engineer,Hamburg,Germany,15668,188020
9,Bachelor,Data Analyst,Kuala Lumpur,Malaysia,6691,80298
3,PhD,Cloud Engineer,Dublin,Ireland,17310,207730
6,Master,Data Analyst,Vancouver,Canada,11422,137075
6,PhD,ML Engineer,Toronto,Canada,16967,203608
1,PhD,Cloud Engineer,Lyon,France,10046,120562
3,Master,Cybersecurity,Boston,USA,17499,209992
3,Master,Software Engineer,Kuala Lumpur,Malaysia,5273,63280
7,Bachelor,Cloud Engineer,Kuala Lumpur,Malaysia,6438,77258
2,Master,Data Analyst,Luxembourg,Luxembourg,13641,163702
10,Master,ML Engineer,Luxembourg,Luxembourg,21950,263406
12,Bachelor,Cloud Engineer,Toronto,Canada,16425,197100
5,Master,Data Analyst,Barcelona,Spain,6988,83858
1,Bachelor,Data Analyst,Dubai,UAE,9096,109156
5,Bachelor,Data Analyst,Luxembourg,Luxembourg,14964,179570
11,Bachelor,Software Engineer,Singapore,Singapore,19235,230824
5,Master,Cybersecurity,Luxembourg,Luxembourg,20540,246482
6,PhD,Cybersecurity,Toronto,Canada,15718,188625
9,Bachelor,ML Engineer,Dublin,Ireland,15504,186048
4,PhD,Cybersecurity,Singapore,Singapore,18707,224491
1,Master,ML Engineer,San Francisco,USA,22124,265492
7,Bachelor,Cloud Engineer,Stockholm,Sweden,14433,173207
10,Bachelor,Cybersecurity,Brisbane,Australia,17026,204320
4,Bachelor,ML Engineer,Kuala Lumpur,Malaysia,6657,79892
7,PhD,Data Scientist,Vancouver,Canada,20199,242391
7,PhD,Cybersecurity,Abu Dhabi,UAE,18274,219296
11,Bachelor,Cybersecurity,Dublin,Ireland,15649,187799
3,Bachelor,Data Scientist,Tokyo,Japan,11698,140382
4,PhD,Software Engineer,Kuala Lumpur,Malaysia,5933,71198
8,PhD,ML Engineer,Geneva,Switzerland,26577,318931
5,Master,Data Scientist,Paris,France,13658,163905
9,Master,Cloud Engineer,Singapore,Singapore,23445,281340
0,PhD,Data Scientist,Perth,Australia,13200,158400
1,Bachelor,ML Engineer,Abu Dhabi,UAE,11304,135653
11,Bachelor,Software Engineer,Dublin,Ireland,14958,179498
0,Bachelor,Data Analyst,Barcelona,Spain,4500,54000
9,Bachelor,Data Scientist,Abu Dhabi,UAE,13461,161541
8,PhD,Data Analyst,Geneva,Switzerland,22007,264086
2,Bachelor,Cybersecurity,Munich,Germany,11654,139850
9,Bachelor,Cloud Engineer,Amsterdam,Netherlands,15390,184691
8,Bachelor,Software Engineer,Luxembourg,Luxembourg,19688,236256
4,Bachelor,Software Engineer,London,UK,11617,139408
7,Bachelor,ML Engineer,Singapore,Singapore,17573,210882
3,PhD,ML Engineer,Toronto,Canada,15712,188553
9,PhD,ML Engineer,Birmingham,UK,13138,157657
6,Master,ML Engineer,Barcelona,Spain,11133,133603
5,PhD,Cloud Engineer,Kuala Lumpur,Malaysia,6219,74628
12,Bachelor,Data Scientist,Montreal,Canada,19773,237276
7,PhD,Cybersecurity,Zurich,Switzerland,28037,336446
7,PhD,Data Scientist,Madrid,Spain,8708,104500
5,Master,Cybersecurity,Paris,France,11470,137643
0,PhD,Cloud Engineer,Lyon,France,9625,115500
6,Master,Data Scientist,Brisbane,Australia,13963,167567
11,PhD,Cloud Engineer,Luxembourg,Luxembourg,27957,335491
12,Bachelor,Data Scientist,Kuala Lumpur,Malaysia,8771,105252
1,Bachelor,ML Engineer,Seattle,USA,17185,206224
7,PhD,Cybersecurity,Stockholm,Sweden,15374,184498
10,Master,Data Scientist,Luxembourg,Luxembourg,25498,305976
5,Bachelor,Cloud Engineer,Vancouver,Canada,13783,165405
8,Master,Data Analyst,Madrid,Spain,7542,90512
5,Bachelor,Cloud Engineer,Madrid,Spain,7845,94140
7,PhD,Software Engineer,Tokyo,Japan,17419,209037
8,Master,Software Engineer,Seattle,USA,21145,253748
7,Master,Software Engineer,Stockholm,Sweden,14630,175565
7,Master,Software Engineer,Toronto,Canada,17057,204692
5,Bachelor,Software Engineer,Stockholm,Sweden,12774,153290
3,Master,Cybersecurity,Abu Dhabi,UAE,13292,159515
4,PhD,Software Engineer,Stockholm,Sweden,12713,152558
5,Master,Software Engineer,Manchester,UK,11133,133600
11,Bachelor,ML Engineer,Amsterdam,Netherlands,17433,209199
11,Master,Data Analyst,Osaka,Japan,13252,159025
6,Master,ML Engineer,Kuala Lumpur,Malaysia,8052,96630
9,Bachelor,Data Analyst,Chicago,USA,16920,203049
9,Bachelor,ML Engineer,Edinburgh,UK,11999,143989
6,Master,Data Scientist,Perth,Australia,16476,197716
4,Bachelor,Cloud Engineer,Vancouver,Canada,14646,175754
5,PhD,Data Scientist,Brisbane,Australia,16781,201378
4,Bachelor,ML Engineer,Montreal,Canada,14053,168644
4,PhD,Data Scientist,Vancouver,Canada,17396,208756
7,Bachelor,Software Engineer,Brisbane,Australia,15615,187388
9,Bachelor,Software Engineer,Zurich,Switzerland,20620,247446
7,Master,Data Scientist,Bangalore,India,6659,79911
7,Bachelor,Software Engineer,Munich,Germany,11537,138445
10,Bachelor,Cloud Engineer,Zurich,Switzerland,22647,271770
6,Master,Data Analyst,Chennai,India,3888,46662
2,Master,Software Engineer,Edinburgh,UK,7995,95950
5,Master,Cybersecurity,Chicago,USA,17686,212234
2,PhD,Cloud Engineer,Lyon,France,11608,139296
5,Bachelor,Data Analyst,Singapore,Singapore,11541,138500
6,Master,Cloud Engineer,Zurich,Switzerland,24819,297831
1,Master,Data Scientist,Abu Dhabi,UAE,11933,143205
5,Master,ML Engineer,Singapore,Singapore,19686,236241
4,Bachelor,ML Engineer,Kuala Lumpur,Malaysia,6614,79376
5,Master,Data Scientist,Abu Dhabi,UAE,14506,174075
9,PhD,Cybersecurity,Geneva,Switzerland,25332,303987
9,Master,Software Engineer,Madrid,Spain,11434,137216
2,Bachelor,Data Scientist,London,UK,9792,117508
6,Master,ML Engineer,Madrid,Spain,11990,143884
2,Bachelor,Software Engineer,Madrid,Spain,6445,77344
2,Master,Cloud Engineer,Hamburg,Germany,11272,135267
6,PhD,Software Engineer,Rotterdam,Netherlands,16092,193111
4,Master,Cloud Engineer,Munich,Germany,13236,158840
1,PhD,Data Scientist,Abu Dhabi,UAE,12575,150906
5,Bachelor,ML Engineer,Rotterdam,Netherlands,13137,157650
10,Bachelor,Cloud Engineer,Abu Dhabi,UAE,14494,173930
4,Master,Data Scientist,Sydney,Australia,16009,192108
6,PhD,ML Engineer,Paris,France,17653,211836
8,PhD,Cybersecurity,London,UK,16586,199036
11,PhD,ML Engineer,Luxembourg,Luxembourg,26999,323994
1,PhD,Software Engineer,Montreal,Canada,11828,141940
1,Master,Software Engineer,Toronto,Canada,11292,135512
7,PhD,Cybersecurity,Birmingham,UK,13012,156154
6,PhD,Cybersecurity,New York,USA,23594,283132
0,PhD,Cybersecurity,Luxembourg,Luxembourg,18480,221760
5,Bachelor,Data Scientist,Abu Dhabi,UAE,13816,165800
11,Master,Software Engineer,Berlin,Germany,15474,185698
1,Master,ML Engineer,Edinburgh,UK,9147,109771
0,PhD,Software Engineer,Dublin,Ireland,12870,154440
7,Bachelor,Software Engineer,Munich,Germany,11554,138655
4,Bachelor,Data Analyst,Hamburg,Germany,9420,113040
11,Bachelor,Data Analyst,Lyon,France,14892,178706
7,Bachelor,Data Analyst,Zurich,Switzerland,19310,231727
4,Bachelor,Cybersecurity,Amsterdam,Netherlands,12801,153620
5,Bachelor,Data Scientist,Melbourne,Australia,15456,185475
12,Master,Cloud Engineer,Luxembourg,Luxembourg,26650,319805
8,Master,Cybersecurity,Rotterdam,Netherlands,18208,218504
10,Master,Data Analyst,Melbourne,Australia,16661,199936
6,Bachelor,Cybersecurity,Abu Dhabi,UAE,14347,172170
12,Bachelor,Data Scientist,Berlin,Germany,15244,182928
5,Master,Data Scientist,Rotterdam,Netherlands,15674,188094
11,Master,Cloud Engineer,Tokyo,Japan,18105,217262
5,PhD,Software Engineer,Luxembourg,Luxembourg,20716,248592
7,Bachelor,Data Scientist,Madrid,Spain,10324,123897
11,Bachelor,Data Scientist,Rotterdam,Netherlands,14148,169777
5,Master,Cloud Engineer,Montreal,Canada,13024,156288
9,Master,Data Analyst,Dublin,Ireland,14007,168092
4,PhD,Cybersecurity,Zurich,Switzerland,23787,285451
12,Master,Data Scientist,Kuala Lumpur,Malaysia,8141,97693
7,Master,Cybersecurity,Mumbai,India,8204,98454
2,PhD,Cybersecurity,Singapore,Singapore,16825,201904
10,Bachelor,Cybersecurity,Edinburgh,UK,10438,125260
1,Master,Software Engineer,Barcelona,Spain,6571,78855
3,Master,Data Scientist,Tokyo,Japan,13182,158192
7,Bachelor,Data Analyst,Toronto,Canada,11372,136470
10,Bachelor,Data Analyst,Stockholm,Sweden,11338,136060
2,Master,Software Engineer,Birmingham,UK,8256,99072
1,PhD,ML Engineer,Tokyo,Japan,13334,160017
9,Master,Cybersecurity,Rotterdam,Netherlands,14170,170042
3,Bachelor,Software Engineer,Rotterdam,Netherlands,11638,139662
8,PhD,ML Engineer,Amsterdam,Netherlands,21517,258204
11,Master,Cloud Engineer,Zurich,Switzerland,26276,315320
11,PhD,Cybersecurity,Vancouver,Canada,23641,283702
2,PhD,Software Engineer,Geneva,Switzerland,19636,235639
1,PhD,ML Engineer,Rotterdam,Netherlands,14121,169458
3,Bachelor,Cloud Engineer,Mumbai,India,3817,45804
9,Bachelor,ML Engineer,Hyderabad,India,5984,71809
9,PhD,Cybersecurity,Zurich,Switzerland,25084,301017
5,PhD,Data Scientist,Osaka,Japan,15127,181530
7,PhD,Data Analyst,Lyon,France,13304,159650
2,Bachelor,Data Scientist,Barcelona,Spain,6508,78104
6,Bachelor,Cloud Engineer,Perth,Australia,14828,177946
3,PhD,Data Scientist,Rotterdam,Netherlands,14782,177390
5,Bachelor,Data Analyst,Manchester,UK,8009,96115
6,Master,Data Scientist,Luxembourg,Luxembourg,21120,253440
11,Master,Data Scientist,Kuala Lumpur,Malaysia,7093,85123
5,Bachelor,ML Engineer,Lyon,France,12251,147015
6,Master,Data Scientist,Kuala Lumpur,Malaysia,5723,68686
12,PhD,Data Scientist,Abu Dhabi,UAE,16863,202363
6,Master,Data Analyst,Toronto,Canada,14324,171897
8,Master,Data Analyst,Singapore,Singapore,13272,159275
10,Master,Software Engineer,Kuala Lumpur,Malaysia,6111,73337
9,Bachelor,Software Engineer,Tokyo,Japan,13403,160845
8,PhD,Data Scientist,Dublin,Ireland,16476,197721
8,PhD,ML Engineer,Luxembourg,Luxembourg,23156,277881
4,PhD,Cloud Engineer,London,UK,12607,151288
2,Master,Data Scientist,Montreal,Canada,12175,146108
1,PhD,ML Engineer,Zurich,Switzerland,23845,286143
5,Master,Cybersecurity,Dublin,Ireland,14670,176049
8,Master,Software Engineer,Edinburgh,UK,10841,130092
11,Bachelor,Cybersecurity,Stockholm,Sweden,14260,171124
8,Master,Data Scientist,San Francisco,USA,24860,298328
11,Master,Cloud Engineer,Kuala Lumpur,Malaysia,10599,127195
10,Bachelor,Cybersecurity,Bangalore,India,6220,74650
9,Master,Cloud Engineer,Hamburg,Germany,16957,203486
7,PhD,ML Engineer,Singapore,Singapore,20271,243255
2,Bachelor,Software Engineer,Paris,France,9180,110164
0,PhD,Cybersecurity,Abu Dhabi,UAE,12240,146880
11,Master,Data Analyst,Abu Dhabi,UAE,13514,162169
4,PhD,Data Scientist,Lyon,France,11576,138921
11,Bachelor,Data Analyst,Dublin,Ireland,12183,146198
0,PhD,ML Engineer,Edinburgh,UK,9295,111540
0,PhD,Cloud Engineer,Kuala Lumpur,Malaysia,4125,49500
4,Master,Data Scientist,Luxembourg,Luxembourg,19655,235870
1,Master,Data Analyst,Luxembourg,Luxembourg,13310,159731
3,PhD,Data Scientist,Dublin,Ireland,15585,187030
12,Bachelor,Cybersecurity,Lyon,France,13027,156324
4,PhD,ML Engineer,Dubai,UAE,17882,214586
1,Master,Software Engineer,Dublin,Ireland,12555,150667
12,PhD,Cybersecurity,Kuala Lumpur,Malaysia,8678,104140
7,PhD,ML Engineer,Madrid,Spain,12068,144818
8,PhD,Software Engineer,Osaka,Japan,14341,172099
9,Bachelor,ML Engineer,Stockholm,Sweden,17129,205548
5,PhD,Software Engineer,Dublin,Ireland,15381,184572
5,PhD,ML Engineer,Paris,France,14775,177300
8,Bachelor,Cloud Engineer,Edinburgh,UK,9943,119319
6,PhD,ML Engineer,San Francisco,USA,26588,319060
1,PhD,ML Engineer,Geneva,Switzerland,22239,266872
9,PhD,Cloud Engineer,Barcelona,Spain,12049,144594
3,Master,Data Scientist,Dubai,UAE,13132,157588
1,Bachelor,Cybersecurity,Paris,France,9584,115013
7,Bachelor,ML Engineer,Kuala Lumpur,Malaysia,7096,85152
10,Bachelor,ML Engineer,Rotterdam,Netherlands,17215,206580
10,Master,Cloud Engineer,Singapore,Singapore,19965,239580
3,PhD,Data Scientist,Rotterdam,Netherlands,13977,167731
1,Master,Cybersecurity,Lyon,France,9242,110907
5,PhD,Cloud Engineer,Abu Dhabi,UAE,15908,190896
12,Master,Cloud Engineer,Singapore,Singapore,23386,280634
12,PhD,Software Engineer,Barcelona,Spain,12026,144316
12,Master,ML Engineer,Delhi,India,8978,107742
7,Master,Cybersecurity,Singapore,Singapore,19314,231770
10,Bachelor,Data Analyst,London,UK,10099,121190
11,Master,Cloud Engineer,San Francisco,USA,27917,335007
12,PhD,Cybersecurity,Amsterdam,Netherlands,24282,291384
11,Master,Data Analyst,Birmingham,UK,15055,180667
6,PhD,Data Scientist,Berlin,Germany,14742,176911
7,Master,Software Engineer,Vancouver,Canada,17199,206396
5,PhD,ML Engineer,Perth,Australia,16966,203592
4,Master,Software Engineer,Toronto,Canada,13761,165136
1,Bachelor,Data Analyst,Toronto,Canada,8571,102863
2,PhD,Data Analyst,Dublin,Ireland,11185,134222
7,Bachelor,Data Analyst,Kuala Lumpur,Malaysia,7811,93736
2,Master,ML Engineer,Singapore,Singapore,16465,197586
11,PhD,Cloud Engineer,Berlin,Germany,16042,192508
9,Master,Cybersecurity,Manchester,UK,11073,132881
12,Master,Data Scientist,Geneva,Switzerland,28106,337273
11,Master,Software Engineer,Singapore,Singapore,19324,231896
11,PhD,Software Engineer,Madrid,Spain,14056,168682
10,Master,ML Engineer,Melbourne,Australia,19109,229317
5,Bachelor,Cloud Engineer,Dublin,Ireland,14106,169275
3,Bachelor,Data Analyst,Geneva,Switzerland,15077,180930
1,Bachelor,ML Engineer,Chicago,USA,14616,175392
11,PhD,Cybersecurity,Luxembourg,Luxembourg,24845,298148
5,PhD,Software Engineer,Zurich,Switzerland,23195,278340
8,Bachelor,Software Engineer,Osaka,Japan,13688,164256
8,Bachelor,Software Engineer,Rotterdam,Netherlands,14448,173376
9,Bachelor,Cloud Engineer,Dublin,Ireland,15737,188847
4,Bachelor,Data Analyst,Paris,France,8054,96652
4,Master,ML Engineer,Geneva,Switzerland,22456,269482
10,Bachelor,Cybersecurity,Geneva,Switzerland,20143,241720
11,PhD,Cloud Engineer,Geneva,Switzerland,26558,318699
5,PhD,Cloud Engineer,Luxembourg,Luxembourg,22479,269748
6,Master,Software Engineer,Osaka,Japan,13438,161257
11,Master,Data Scientist,Melbourne,Australia,18691,224296
1,PhD,ML Engineer,Montreal,Canada,13263,159162
6,Master,Cybersecurity,Stockholm,Sweden,12511,150136
11,Bachelor,Data Scientist,San Francisco,USA,20995,251948
7,PhD,Data Analyst,Hyderabad,India,6687,80250
5,PhD,Cloud Engineer,Zurich,Switzerland,26864,322374
3,PhD,ML Engineer,Luxembourg,Luxembourg,21757,261091
0,Bachelor,Data Analyst,Seattle,USA,11700,140400
2,Bachelor,Cybersecurity,Rotterdam,Netherlands,11512,138150
10,PhD,ML Engineer,Madrid,Spain,14907,178884
6,Master,ML Engineer,Perth,Australia,15786,189442
11,Bachelor,Cybersecurity,Madrid,Spain,10668,128018
1,Bachelor,Cybersecurity,Dublin,Ireland,12026,144315
